X,Y,OBJECTID,site_id,site_name,address,owner_developer_name,construction_type,bedrooms,bathrooms,square_footage,distance_to_transit,distance_to_downtown,safety,noise,cleanliness,vibe,monthly_rent,utilities,maintenance_burden,house_condition,appliances,repairs_needed,stairs,wheelchair_access,elderly_friendly_layout,school_quality,school_zone,bus_access,parking,laundry,ac,yard,storage,internet_quality,unit_type,backyard,balcony,nearby_park,pet_friendliness,lease_security
-83.0763249882912,42.3260694087419,151,HRD12112,The Brooke on Bagley,2420 Bagley St,Woodborn Partners,New Construction,1,1,510,1.7,1.6,5,3,5,5,1060,150,low,9,stainless,none,none,yes,yes,5,Zone A,limited,0,on-site,central,shared,hall closet,fiber,apartment,none,no,yes,true,low
-83.0439376707544,42.4145600274128,155,HRD12085,Transfiguration School,5829 Rupert St,Ethos / Cinnaire,Adaptive Reuse,4,3,1600,0.9,5.7,6,2,6,6,2090,300,low,9,stainless,none,few,no,yes,4,Zone F,strong,0,in-unit,none,none,hall closet,fiber,apartment,none,no,no,true,medium
-83.11466219191,42.3314677244323,157,HRD12329,Campbell Street Apartments (5800 Michigan Ave),5800 Michigan Ave,MiSide (fka Southwest Solutions),New Construction,4,3,1510,1.5,3.5,4,2,3,5,1930,310,medium,7,standard,none,none,no,no,7,Zone A,limited,1,in-unit,window,none,none,good,apartment,none,no,yes,false,high
-83.0609410819068,42.3546367975466,160,HRD12100,The Freelon at Sugar Hill,81 Garfield St,Develop Detroit + POAH,New Construction,4,2,1370,0.7,1.8,7,4,6,6,1910,260,medium,9,stainless,none,one flight,no,no,6,Zone C,moderate,0,on-site,central,none,none,fiber,apartment,none,no,yes,true,low
-83.0714778064699,42.3351773115808,165,HRD12269,Left Field I,2610 Cochrane St,American Community Developers,New Construction,2,2,950,1.4,1.3,9,5,10,9,1440,210,low,9,modern,none,one flight,no,no,5,Zone E,limited,1,on-site,window,shared,none,good,apartment,shared,no,yes,false,medium
-82.949646671475,42.3778163221478,169,HRD10128,Lakewood Manor,14200 Kercheval St,U-SNAP-BAC / MHT,Occupied Rehabilitation,3,2,1020,0.6,5.9,4,6,5,4,1350,230,low,7,mixed,moderate,few,no,yes,7,Zone E,strong,1,on-site,none,none,storage locker,good,apartment,none,yes,no,false,low
-83.0199447485793,42.4423831938757,171,HRD12079,Benjamin O Davis Veteran's Village,4777 E Outer Dr,"Davis Veterans Village, LLP - AMAC Development, Anchor Team, Beal Group, CCIH/COH",New Construction,3,2.5,1300,0.5,7.8,6,8,6,4,1670,240,low,7,modern,none,none,no,yes,9,Zone A,strong,0,on-site,window,none,storage locker,fiber,apartment,none,no,yes,false,low
-83.0828305484437,42.4415013083056,177,HRD10155,Morton Manor,20000 Dequindre St,Gabriel Management Group LLC,Occupied Rehabilitation,2,1,980,1.9,7.8,9,8,10,7,1370,180,medium,7,standard,moderate,few,no,yes,8,Zone E,moderate,0,in-unit,none,none,hall closet,good,apartment,none,no,yes,false,medium
-83.1389493154694,42.3071926581132,181,HRD10064,Pablo Davis,9200 W Vernor Hwy,Bridging Communities / MHT,Occupied Rehabilitation,2,1.5,870,1.1,5.0,4,7,3,3,1410,190,medium,7,mixed,minor,two flights,no,no,5,Zone A,moderate,1,in-unit,central,small,garage,fiber,townhouse,none,no,no,true,high
-82.996408497079,42.3503656530838,199,HRD12195,7850 E Jefferson II - 9 pct,7852 E Jefferson Ave,Ginosko Development,New Construction,3,2.5,1350,1.1,2.8,6,7,8,6,1550,220,medium,7,standard,minor,none,yes,yes,5,Zone F,moderate,0,on-site,central,none,hall closet,fair,apartment,none,no,no,false,low
-83.0884005141073,42.3878595976557,208,HRD12298,The Charlotte,10210 2nd Blvd,,Vacant Rehabilitation,4,2,1590,0.7,4.5,5,3,3,5,2060,310,medium,7,standard,minor,two flights,no,no,7,Zone F,strong,1,on-site,window,none,garage,good,townhouse,small,no,yes,false,low
-83.060692905257,42.3478677178662,216,HRD10033,Orchestra Place,100 Parsons St,Larc Group,Occupied Rehabilitation,4,3,1430,0.7,1.4,8,4,7,8,1920,290,low,9,new,minor,few,no,no,4,Zone E,moderate,1,on-site,central,none,none,fiber,apartment,none,yes,yes,true,high
-83.0623357059974,42.3560279466984,219,HRD10544,Cathedral Tower,80 E Hancock St,MRK Partners,Occupied Rehabilitation,4,3,1490,1.8,1.9,6,7,6,6,1580,280,high,3,mismatched,major,one flight,no,no,5,Zone F,limited,0,on-site,central,none,none,fiber,apartment,shared,no,yes,false,high
-83.2570788846523,42.4181943089273,223,HRD12325,Orchard Village Apartments,21722 Orchard St,CHN & Detroit Blight Busters,New Construction,1,1,560,1.3,12.3,7,2,5,6,760,160,high,5,standard,minor,one flight,no,no,6,Zone E,limited,0,in-unit,window,none,none,fair,apartment,none,yes,no,false,medium
-83.0780001671179,42.3741325817432,233,HRD10149,Midtown Square Apartments,93 Seward St,"John Stanley, Inc & Develop Detroit",Occupied Rehabilitation,2,2,790,1.1,3.4,8,2,9,9,1110,170,medium,7,mixed,minor,none,yes,yes,9,Zone F,moderate,0,in-unit,central,shared,none,fiber,apartment,none,no,no,false,high
-83.0845739751609,42.3795459506674,237,HRD11700,The Hazelwood (Weber Apartments),655 Hazelwood St,Inkwell Partners,Vacant Rehabilitation,1,1.5,590,1.3,3.9,9,6,10,8,870,120,medium,5,mixed,moderate,few,no,yes,7,Zone E,moderate,0,in-unit,none,none,hall closet,fiber,apartment,shared,yes,yes,true,medium
-83.0845652521244,42.3173491066839,240,HRD10217,Savannah-Wilshire,250 W Grand Blvd,MiSide (fka Southwest Solutions),Occupied Rehabilitation,2,1.5,750,1.3,2.2,8,7,6,6,1150,190,low,9,modern,none,none,yes,yes,9,Zone F,limited,0,on-site,central,none,hall closet,good,apartment,none,no,no,false,low
-82.9998726790103,42.3585124747936,244,HRD12063,Parker Durand,8003 Kercheval St,"The Roxbury Group, Invest Detroit",New Construction,4,2,1300,1.0,3.0,6,2,5,6,1830,260,medium,7,mixed,minor,few,no,yes,7,Zone F,moderate,0,in-unit,central,none,none,good,apartment,shared,no,yes,true,high
-83.0132468787326,42.3793783028862,247,HRD10246,Van Dyke Center,8100 Gratiot Ave,MHT Housing,Occupied Rehabilitation,4,2,1340,0.8,3.7,4,6,6,5,1950,290,medium,7,mixed,none,two flights,no,no,8,Zone C,strong,0,in-unit,window,small,basement,fiber,townhouse,small,no,yes,false,medium
-83.0848159264958,42.3799990562475,248,HRD11691,Kingsley Arms Apartments,646 Hazelwood St,Inkwell Partners,New Construction,2,1,1000,1.7,3.9,4,4,5,5,1320,170,low,9,modern,minor,one flight,no,no,8,Zone A,moderate,0,on-site,central,none,hall closet,good,apartment,none,yes,yes,false,medium
-83.1698543274516,42.419513638407,250,HRD12273,Dr. Violet T Lewis Village - 9pct,17370 Meyers Rd,"Wallick Communities, PVM",Adaptive Reuse,1,1.5,620,1.6,8.8,8,6,8,7,960,160,medium,5,mixed,minor,none,no,yes,5,Zone D,moderate,0,in-unit,window,none,storage locker,good,apartment,none,no,no,true,medium
-82.949752051277,42.3655043811804,259,HRD10120,Jefferson Square,541 Dickerson St,MHT Housing,Occupied Rehabilitation,1,1.5,620,1.2,5.4,7,3,8,8,880,160,medium,5,mixed,moderate,few,no,no,9,Zone A,strong,0,in-unit,window,none,hall closet,good,apartment,none,yes,no,true,medium
-82.9471149253315,42.3859137923534,260,HRD12073,Xavier Square,3115 Alter Rd,Nova Development,New Construction,2,1,740,1.1,6.3,8,7,7,5,1140,160,medium,7,mixed,moderate,one flight,no,no,9,Zone C,strong,1,on-site,window,none,none,fiber,apartment,none,no,yes,true,low
-83.1530493556747,42.3671013318375,264,HRD10162,Northlawn Apartments,9545 Northlawn St,Larc Group,Occupied Rehabilitation,1,1,750,1.5,6.0,4,5,4,4,950,150,medium,7,standard,none,none,no,yes,8,Zone F,moderate,1,in-unit,central,none,storage locker,good,apartment,shared,no,no,false,low
-83.0526151823498,42.3354486760176,269,HRD12144,The Residences at 150 Bagley,150 Bagley St,Bagley Development Group,Vacant Rehabilitation,2,2,970,1.5,0.4,6,4,4,5,1330,200,medium,9,stainless,none,one flight,no,no,7,Zone B,moderate,0,in-unit,central,none,storage locker,good,apartment,none,yes,yes,true,medium
-83.0800093152041,42.3580955593704,275,HRD10241,Trumbull Crossing,5500 Trumbull St,Cinnaire / Robert Kabbe,Occupied Rehabilitation,1,1.5,740,1.5,2.5,9,5,10,7,1010,160,high,5,older,minor,two flights,no,no,6,Zone D,limited,2,in-unit,central,small,closet,fiber,townhouse,none,yes,yes,false,medium
-83.0653776003137,42.3462354628152,278,HRD10018,Brainard Street Apartments,680 Brainard St,Cass Corridor Neighborhood Development Corporation,Occupied Rehabilitation,2,1.5,730,1.5,1.4,5,6,6,5,1290,160,medium,5,standard,minor,one flight,no,no,7,Zone A,moderate,1,on-site,central,shared,basement,good,townhouse,small,no,yes,true,medium
-83.0693117048873,42.3700635590535,301,HRD12186,Milwaukee Junction,258 E Milwaukee St,Detroit Catholic Pastoral Alliance (DCPA),Adaptive Reuse,2,1.5,780,1.1,2.9,7,8,6,5,1090,180,medium,5,mixed,minor,one flight,no,no,5,Zone F,strong,0,on-site,window,none,hall closet,good,apartment,none,no,yes,false,medium
-83.2332375836961,42.4054362731099,303,HRD12302,Grandmont Rosedale Collective II: West Outer Drive Apartments,9710 W Outer Dr,Grandmont Rosedale Development Corporation,Vacant Rehabilitation,5,3,1680,1.2,10.8,9,5,10,8,2200,330,low,9,modern,none,none,yes,no,5,Zone A,strong,0,in-unit,window,none,none,fair,apartment,none,no,yes,true,high
-83.0837268214852,42.3824102144649,309,HRD10336,Clairmount Apartments - The Claire,100 Clairmount St,Century Partners,Vacant Rehabilitation,4,3,1560,1.1,4.0,8,6,8,6,1630,310,high,3,older,major,few,no,no,7,Zone A,strong,1,none,central,shared,hall closet,fiber,apartment,none,yes,yes,true,low
-83.0640218888503,42.3646286758186,314,HRD11356,Belnord Apartments,324 Hendrie St,Jacobs Street LLC,Occupied Rehabilitation,3,2,1230,1.1,2.5,5,5,6,5,1460,240,medium,5,mixed,moderate,few,no,no,8,Zone D,strong,1,in-unit,window,none,hall closet,fiber,apartment,none,no,yes,false,high
-82.9488292097157,42.4446050243942,318,HRD12310,Mohican Regent/ Lifebuilders III,16516 Fairmount Dr,Life Builders,Vacant Rehabilitation,3,1.5,1330,1.2,9.2,8,4,9,9,1480,250,high,3,mismatched,moderate,one flight,no,no,9,Zone A,moderate,0,none,central,shared,none,fiber,apartment,none,yes,no,true,low
-83.0861532859323,42.388872358041,323,HRD12364,Cathedral Arts Apartments 9pct,10201 Woodward Ave,MHT Housing,New Construction,1,1.5,540,0.4,4.5,8,4,6,6,930,160,medium,7,standard,none,one flight,no,no,6,Zone C,excellent,0,on-site,central,small,basement,fair,townhouse,shared,no,yes,true,high
-82.9492559783448,42.3681557654219,325,HRD10119,Jefferson Meadows,13101 Freud St,MHT Housing,Occupied Rehabilitation,3,1.5,1320,0.8,5.5,9,3,9,9,1920,230,low,9,modern,none,one flight,no,no,9,Zone C,strong,2,on-site,window,shared,garage,fair,townhouse,small,no,yes,false,high
-82.9467659886844,42.3879931677293,328,HRD10154,Morningside Commons Multi,3530 Wayburn St,U-SNAP-BAC / MHT,Occupied Rehabilitation,2,1,700,0.6,6.4,8,8,10,6,1150,160,medium,7,mixed,none,few,no,yes,5,Zone C,moderate,1,in-unit,window,none,none,good,apartment,none,yes,yes,false,low
-83.2478803573146,42.4118145048132,346,HRD12275,Dr Maya Angelou Village,16711 Burt Rd,Full Circle Communities (services provided by Alternatives for Girls),New Construction,2,1.5,870,0.8,11.7,4,2,6,6,1350,180,low,9,modern,minor,none,yes,yes,5,Zone D,moderate,0,on-site,central,none,hall closet,fair,apartment,none,yes,no,false,high
-83.0584309870701,42.3397674298831,349,HRD12441,The Anchor at Mariner's Inn - 9pct,445 Ledyard St,Cinnaire,New Construction,3,1.5,1240,1.2,0.9,6,8,5,4,1680,230,low,7,modern,none,two flights,no,no,5,Zone D,strong,0,in-unit,none,none,garage,fiber,townhouse,small,yes,yes,true,medium
-83.0506221043173,42.3465931730104,360,HRD12250,Brush & Watson: Beaubien,454 Watson St,American Community Developers,New Construction,2,1.5,930,0.4,1.1,4,6,3,3,1300,200,low,7,mixed,moderate,none,yes,yes,7,Zone D,excellent,1,on-site,central,shared,none,fair,apartment,none,yes,no,false,high
-82.9661822402066,42.4461026582286,361,HRD12264,Mohican Regent/ Lifebuilders II,15044 Bringard Dr,Life Builders,Vacant Rehabilitation,3,2,1120,1.7,8.9,6,2,7,8,1230,210,high,3,older,moderate,one flight,no,no,8,Zone F,limited,0,in-unit,window,shared,hall closet,good,apartment,none,yes,no,false,high
-82.9964356394211,42.350348120949,363,HRD12194,7850 E Jefferson I - 4pct,7850 E Jefferson Ave,Ginosko Development,New Construction,2,2,780,1.9,2.8,8,5,6,6,1510,180,medium,7,standard,minor,one flight,no,no,9,Zone A,moderate,0,in-unit,central,small,basement,fair,detached house,medium,no,yes,false,medium
-83.0252678698034,42.3596893382745,376,HRD12023,Sanctuary/Clay Apartments,3426 Mack Ave,Neighborhood Service Organization (NSO) / MHT,New Construction,2,1,770,1.0,2.2,9,5,9,7,1250,200,low,9,modern,minor,one flight,no,no,5,Zone A,strong,0,on-site,none,none,hall closet,good,apartment,none,no,yes,false,high
-83.0926305,42.321861,379,HRD12064,La Joya Gardens 4pct,4022 W Vernor Hwy,Cinnaire /SDBA/Invest Detroit,New Construction,1,1,500,0.7,2.5,4,5,4,4,580,130,medium,3,basic,major,none,no,no,6,Zone A,moderate,0,in-unit,central,none,storage locker,fiber,apartment,none,yes,yes,false,high
-83.0063219770564,42.3584917568338,393,HRD12204,IVGV Duplex R&R Phase I,2251 Sheridan St,Develop Detroit Inc,Vacant Rehabilitation,2,2,970,0.6,2.7,7,6,8,6,1260,190,medium,7,standard,none,few,no,yes,4,Zone D,moderate,0,in-unit,window,none,none,good,apartment,none,yes,yes,false,low
-83.1986141974464,42.4312851523422,394,HRD10017,Bowin Place,15400 W Seven Mile Rd,Jonathan Rose Companies,Occupied Rehabilitation,3,2.5,1090,2.0,10.4,4,7,6,4,1350,200,high,3,basic,moderate,one flight,no,no,6,Zone A,moderate,0,in-unit,central,none,storage locker,good,apartment,none,yes,yes,true,medium
-83.1443335396616,42.41694295912,402,HRD12292,Sawyer Art Apartments,7303 W Mcnichols Rd,"Urge Development, N'Namdi Holdings, Hosey Development",New Construction,1,1,750,1.9,7.8,8,3,6,6,940,160,medium,7,mixed,none,none,yes,no,6,Zone B,limited,0,in-unit,central,none,hall closet,fiber,apartment,none,yes,no,false,high
-82.9994517367894,42.357127484767,412,HRD10950,Van Dyke Village Apartments,1775 Van Dyke St,Kipling Development & Woodborn Partners,Occupied Rehabilitation,3,2,990,1.2,3.0,9,8,7,5,1290,230,high,3,basic,major,few,no,no,4,Zone A,moderate,1,on-site,central,none,hall closet,good,apartment,none,no,no,true,medium
-83.0272671986912,42.3438277389423,414,HRD10176,Parkview Place,1401 Chene St,MHT Housing,Occupied Rehabilitation,4,2,1430,0.8,1.3,6,2,5,7,1830,280,medium,7,standard,minor,one flight,no,no,5,Zone B,strong,0,in-unit,central,none,storage locker,good,apartment,none,no,yes,true,medium
-83.0762596819398,42.3496139476564,419,HRD10244,University Meadows,4500 Trumbull St,Develop Detroit/ PVM,Occupied Rehabilitation,2,2,760,1.4,2.0,8,6,10,7,1150,160,medium,7,modern,none,none,no,yes,5,Zone D,moderate,0,in-unit,central,shared,none,good,apartment,none,no,no,true,low
-83.0830462719496,42.3821521377188,424,HRD12056,Ruth Ellis Clairmount (REC) Center,61 Clairmount St,Full Circle Communities,New Construction,4,3,1410,1.6,4.0,6,3,8,6,1570,300,high,3,mismatched,moderate,few,no,no,8,Zone C,limited,1,in-unit,central,none,storage locker,good,apartment,none,yes,no,true,medium
